,UoM_Wireless1,UoM_Wireless6,Chamidi11,IsuruAp6,FGS_Office1,NipunaM6,Becon_Wireless1,Sandali1,UoM_Wireless11,eduroam1,eduroam6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,id
73,-86.0,-100.0,-76.0,-49.0,-84.0,-53.0,-84.0,-61.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
74,-83.0,-100.0,-70.0,-57.0,-86.0,-54.0,-85.0,-65.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
75,-87.0,-100.0,-83.0,-51.0,-84.0,-54.0,-86.0,-64.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
76,-86.0,-100.0,-70.0,-49.0,-82.0,-56.0,-83.0,-65.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
77,-83.0,-100.0,-75.0,-53.0,-82.0,-54.0,-81.0,-61.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-87.0,2.0
78,-83.0,-100.0,-73.0,-52.0,-84.0,-56.0,-86.0,-65.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
79,-85.0,-100.0,-73.0,-50.0,-84.0,-54.0,-82.0,-63.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
80,-84.0,-100.0,-70.0,-48.0,-86.0,-53.0,-84.0,-63.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-82.0,2.0
81,-84.0,-100.0,-73.0,-52.0,-85.0,-56.0,-84.0,-65.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
82,-83.0,-100.0,-76.0,-50.0,-86.0,-55.0,-85.0,-66.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
83,-83.0,-100.0,-75.0,-49.0,-84.0,-53.0,-84.0,-64.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
84,-83.0,-100.0,-73.0,-50.0,-82.0,-54.0,-84.0,-68.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-87.0,2.0
85,-85.0,-100.0,-70.0,-46.0,-87.0,-52.0,-87.0,-74.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
86,-88.0,-100.0,-71.0,-48.0,-84.0,-52.0,-84.0,-64.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
87,-83.0,-100.0,-83.0,-49.0,-84.0,-53.0,-84.0,-63.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-88.0,2.0
88,-84.0,-100.0,-70.0,-48.0,-84.0,-56.0,-82.0,-63.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
89,-83.0,-100.0,-66.0,-47.0,-88.0,-55.0,-87.0,-65.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
