UoM_Wireless1,UoM_Wireless6,Chamidi11,FGS_Office1,NipunaM6,Becon_Wireless1,Sandali1,UoM_Wireless11,eduroam1,eduroam6,IsuruAp6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,id
-88,-100,-72,-100,-64,-87,-100,-100,-100,-100,,-100,-100,-100,-100,2
-92,-100,-65,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-66,-100,-68,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-89,-100,-72,-100,-73,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-90,-100,-81,-100,-67,-100,-100,-100,-100,-100,,-100,-100,-100,-90,2
-100,-100,-80,-100,-66,-100,-100,-100,-100,-100,,-100,-100,-100,-87,2
-90,-100,-68,-100,-61,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,,-100,-100,-100,-87,2
-100,-100,-73,-100,-64,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-74,-100,-65,-88,-100,-100,-100,-100,,-100,-100,-100,-86,2
-94,-100,-100,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-91,-100,-70,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-88,2
-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-100,-100,-68,-100,-63,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-89,-100,-71,-100,-60,-100,-100,-100,-100,-100,,-100,-100,-100,-88,2
-86,-100,-72,-100,-69,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,,-100,-100,-100,-86,2
-100,-100,-70,-100,-67,-100,-100,-100,-96,-100,,-100,-100,-100,-100,2
