Chamidi1,NipunaM6,IsuruAp6,Sandali11,UoM_Wireless11,UNIC-wifi11
-71,-63,-53,-61,-94,-88
-74,-65,-52,-57,-92,-87
-75,-62,-54,-62,-90,-86
-73,-65,-56,-62,-92,-87
-76,-63,-55,-62,-90,-88
-76,-64,-56,-61,-91,-88
-71,-65,-52,-58,-95,-88
-75,-65,-56,-63,-91,-89
-70,-57,-52,-100,-89,-84
-72,-57,-52,-100,-91,-86
-73,-65,-54,-60,-92,-87
-79,-57,-52,-100,-91,-88
-77,-55,-60,-62,-93,-86
-83,-63,-55,-60,-91,-86
-73,-65,-53,-58,-89,-83
-70,-65,-52,-58,-92,-86
-73,-65,-54,-61,-92,-89
-77,-57,-56,-100,-95,-88
-77,-55,-65,-100,-91,-88
-74,-65,-59,-64,-91,-89
-72,-57,-52,-100,-91,-89
-76,-60,-55,-62,-95,-88
-84,-50,-59,-63,-89,-86
-81,-57,-53,-100,-94,-89
-72,-65,-54,-62,-92,-88
-71,-65,-55,-60,-92,-87
-100,-57,-53,-100,-91,-88
-73,-57,-53,-100,-91,-89
-76,-58,-51,-100,-88,-83
-77,-64,-54,-64,-91,-88
-71,-57,-53,-100,-91,-88
-73,-65,-53,-58,-94,-84
-77,-60,-53,-64,-89,-87
-70,-68,-51,-62,-92,-87
-71,-60,-55,-100,-90,-88
-78,-62,-58,-63,-91,-86
-73,-57,-54,-100,-88,-89
-73,-57,-61,-100,-87,-88
-81,-57,-57,-63,-91,-86
-72,-64,-53,-61,-92,-87
-76,-57,-52,-100,-90,-88
-76,-58,-54,-100,-91,-84
-81,-62,-55,-63,-89,-85
-72,-65,-54,-60,-92,-87
-75,-65,-53,-60,-86,-87
-71,-63,-56,-100,-91,-86
-73,-55,-57,-100,-91,-88
-79,-54,-56,-60,-91,-86
-80,-54,-58,-62,-91,-88
-74,-63,-56,-61,-91,-86
-71,-65,-54,-60,-93,-87
-77,-60,-57,-100,-91,-88
-70,-56,-56,-100,-91,-88
-83,-62,-57,-62,-90,-86
-80,-62,-59,-61,-87,-86
-81,-52,-55,-60,-91,-83
-74,-55,-60,-65,-91,-86
-84,-54,-56,-62,-91,-86
-73,-65,-53,-61,-92,-87
-100,-65,-54,-59,-92,-88
-77,-62,-54,-62,-91,-89
-71,-57,-51,-100,-97,-88
-79,-51,-60,-61,-91,-87
-78,-54,-60,-63,-91,-86
-80,-62,-54,-60,-92,-86
-67,-60,-58,-100,-90,-88
-80,-62,-57,-61,-91,-86
-79,-62,-56,-62,-90,-88
-77,-55,-55,-100,-91,-92
-70,-57,-57,-100,-93,-89
-75,-64,-56,-62,-92,-89
-71,-62,-57,-62,-91,-86
-75,-61,-56,-100,-91,-88
-70,-65,-53,-58,-92,-84
-72,-65,-57,-62,-92,-88
-82,-63,-56,-61,-91,-87
-86,-57,-54,-100,-91,-88
-100,-57,-53,-100,-91,-84
-70,-65,-52,-58,-92,-87
-82,-65,-54,-59,-92,-87
-72,-65,-54,-60,-92,-87
-75,-63,-58,-61,-91,-86
-72,-61,-56,-63,-90,-87
-72,-65,-52,-61,-92,-87
-84,-59,-58,-63,-91,-86
-70,-56,-56,-100,-87,-88
-74,-57,-53,-100,-88,-84
-77,-57,-53,-100,-91,-88
-73,-63,-54,-100,-92,-87
-85,-54,-60,-62,-91,-89
-70,-63,-57,-61,-92,-87
-75,-64,-53,-61,-91,-89
-77,-55,-59,-100,-91,-88
-78,-62,-57,-62,-91,-86
-84,-57,-53,-100,-92,-88
-73,-61,-56,-61,-93,-86
-71,-65,-54,-58,-89,-87
-73,-57,-55,-100,-94,-87
-79,-54,-56,-61,-95,-86
-77,-62,-55,-64,-89,-91
-78,-63,-55,-100,-91,-86
-77,-64,-54,-58,-91,-86
-75,-56,-55,-100,-91,-88
-80,-57,-56,-100,-91,-84
-77,-65,-55,-64,-89,-82
-80,-57,-48,-100,-93,-88
-77,-64,-55,-64,-88,-86
-80,-55,-63,-64,-88,-87
-78,-62,-61,-62,-88,-86
-77,-62,-55,-64,-89,-90
-74,-55,-57,-100,-91,-88
-77,-62,-55,-64,-91,-88
-100,-63,-56,-62,-91,-86
-73,-61,-56,-61,-91,-87
-72,-65,-55,-59,-92,-85
-86,-57,-55,-100,-91,-90
-81,-62,-57,-63,-88,-84
-75,-62,-56,-62,-90,-83
-82,-62,-59,-62,-87,-86
-80,-62,-57,-61,-93,-86
-71,-63,-52,-59,-91,-85
-77,-64,-50,-64,-89,-88
-74,-63,-55,-63,-88,-85
-100,-57,-52,-100,-91,-88
-86,-57,-54,-100,-91,-89
-73,-63,-64,-100,-91,-86
-77,-60,-52,-64,-89,-84
-75,-53,-54,-100,-88,-88
-76,-56,-53,-100,-91,-88
-100,-62,-58,-62,-89,-88
-72,-59,-58,-100,-86,-88
-72,-65,-52,-58,-92,-87
-74,-57,-63,-100,-92,-88
-82,-55,-55,-100,-91,-88
-75,-63,-53,-61,-91,-86
-73,-65,-57,-100,-87,-86
-70,-65,-52,-59,-86,-87
-70,-60,-57,-100,-91,-88
-75,-53,-60,-65,-91,-86
-76,-64,-55,-62,-91,-89
-74,-64,-55,-62,-91,-89
-82,-62,-57,-62,-91,-86
-81,-57,-48,-100,-92,-87
-72,-66,-55,-100,-91,-86
-75,-57,-52,-100,-91,-86
-72,-61,-57,-61,-89,-86
-76,-65,-58,-62,-91,-89
-68,-62,-54,-100,-91,-86
-81,-54,-59,-60,-86,-87
-84,-51,-62,-62,-88,-87
-74,-62,-52,-63,-90,-86
-75,-56,-55,-100,-92,-87
-83,-57,-61,-63,-91,-86
-78,-53,-60,-62,-91,-87
-72,-65,-52,-59,-92,-87
-82,-62,-56,-62,-91,-86
-75,-57,-56,-100,-90,-88
-77,-60,-52,-64,-89,-85
-77,-58,-59,-100,-90,-89
-81,-59,-58,-100,-89,-88
-70,-65,-55,-59,-92,-87
-75,-58,-59,-100,-91,-90
-78,-62,-58,-60,-89,-86
-80,-57,-48,-100,-91,-88
-78,-61,-56,-61,-91,-86
-70,-65,-55,-60,-92,-90
-71,-56,-57,-100,-91,-84
-75,-65,-56,-61,-89,-86
-78,-52,-59,-60,-91,-86
-69,-65,-53,-100,-92,-87
-76,-57,-57,-100,-90,-88
-74,-65,-52,-58,-91,-89
-85,-65,-56,-61,-88,-87
-76,-52,-59,-62,-91,-86
-77,-54,-61,-65,-91,-86
-77,-62,-53,-64,-89,-89
-70,-65,-51,-58,-92,-87
-79,-57,-51,-100,-91,-85
-70,-65,-52,-59,-92,-87
-75,-62,-51,-63,-89,-88
-78,-63,-54,-59,-90,-87
-77,-61,-55,-64,-89,-89
-77,-66,-55,-63,-91,-86
-80,-59,-55,-100,-91,-88
-73,-57,-52,-100,-90,-88
-75,-57,-50,-100,-91,-84
-75,-64,-63,-63,-91,-89
-77,-63,-54,-63,-91,-88
-78,-63,-56,-61,-88,-86
-75,-64,-55,-63,-91,-89
-72,-57,-51,-100,-91,-85
-71,-65,-54,-58,-92,-87
-76,-57,-56,-100,-92,-89
-70,-65,-51,-61,-91,-87
-69,-67,-54,-68,-92,-88
-72,-65,-53,-59,-92,-87
-72,-73,,-59,-89,-88
-70,-65,-55,-58,-91,-86
-77,-61,-53,-64,-89,-88
-70,-65,-53,-61,-92,-88
-69,-65,-51,-57,-89,-85
-81,-57,-52,-100,-91,-88
-76,-54,-60,-63,-91,-86
-70,-65,-53,-58,-90,-87
-74,-57,-53,-100,-88,-85
-78,-60,-54,-60,-91,-87
-81,-55,-59,-60,-91,-86
-75,-64,-56,-62,-91,-88
-77,-57,-49,-100,-92,-88
-77,-61,-55,-61,-90,-86
-83,-57,-52,-100,-84,-88
-77,-64,-56,-63,-91,-90
-69,-65,-53,-59,-89,-87
-73,-65,-52,-57,-90,-87
-84,-54,-61,-64,-90,-86
-79,-57,-54,-100,-91,-89
-75,-62,-56,-61,-87,-89
-81,-57,-55,-100,-91,-88
-74,-66,-52,-63,-89,-88
-71,-65,-55,-63,-92,-87
-70,-65,-54,-62,-92,-89
-72,-65,-55,-62,-92,-87
-73,-65,-66,-61,-88,-86
-69,-65,-53,-58,-94,-90
-74,-63,-55,-62,-91,-84
-80,-57,-53,-100,-92,-88
-80,-52,-61,-58,-91,-86
-74,-57,-57,-100,-93,-88
-82,-57,-52,-100,-91,-87
-79,-54,-58,-61,-89,-86
-74,-63,-53,-60,-91,-86
-79,-59,-54,-100,-91,-88
-76,-64,-56,-62,-93,-87
-79,-62,-57,-63,-89,-86
-74,-57,-55,-100,-91,-89
-75,-62,-57,-61,-91,-87
-69,-57,-57,-100,-90,-88
-73,-65,-52,-61,-93,-88
-83,-62,-57,-61,-90,-86
-77,-60,-53,-64,-89,-88
-75,-63,-58,-61,-91,-87
-76,-63,-57,-61,-92,-89
-76,-58,-57,-61,-88,-89
-85,-52,-60,-61,-90,-87
-77,-63,-55,-61,-91,-86
-77,-61,-55,-64,-89,-88
-77,-63,-64,-64,-91,-86
-80,-67,-56,-100,-92,-88
-77,-64,-53,-64,-89,-88
-76,-59,-59,-100,-91,-88
-73,-65,-54,-59,-92,-87
-72,-56,-54,-100,-89,-88
-73,-64,-53,-58,-92,-87
-79,-57,-53,-100,-89,-88
-69,-61,-53,-100,-91,-88
-75,-65,-55,-64,-91,-89
-77,-62,-51,-64,-88,-88
-75,-57,-52,-100,-91,-88
-72,-58,-55,-100,-94,-88
-77,-62,-52,-64,-89,-88
-76,-57,-54,-100,-94,-88
-78,-62,-55,-62,-93,-86
-77,-57,-47,-100,-91,-87
-72,-65,-52,-57,-92,-86
-74,-57,-54,-100,-91,-88
-100,-56,-63,-100,-91,-85
-76,-62,-57,-62,-91,-86
-74,-58,-57,-100,-87,-88
-77,-62,-48,-64,-94,-90
-79,-54,-64,-62,-88,-87
-76,-61,-57,-61,-91,-87
-77,-62,-55,-64,-90,-86
-71,-64,-54,-60,-92,-87
-77,-55,-58,-100,-87,-84
-79,-61,-58,-62,-91,-86
-74,-57,-56,-100,-91,-88
-72,-57,-52,-100,-91,-88
-84,-65,-55,-62,-91,-89
-78,-57,-56,-100,-91,-88
-100,-63,-58,-100,-90,-91
-77,-62,-60,-62,-90,-86
-77,-54,-57,-62,-91,-86
-74,-57,-56,-100,-89,-85
-77,-61,-54,-64,-89,-88
-73,-58,-57,-100,-91,-88
-71,-63,-52,-58,-89,-88
-75,-60,-54,-59,-87,-86
-76,-57,-51,-100,-89,-85
-75,-63,-56,-62,-91,-89
-73,-65,-56,-58,-92,-87
-76,-57,-55,-100,-91,-86
-69,-63,-53,-57,-92,-86
-72,-63,-54,-61,-91,-86
-74,-58,-58,-100,-91,-90
-83,-57,-53,-100,-91,-88
-74,-56,-52,-100,-91,-88
-81,-62,-57,-62,-86,-86
-67,-63,,-59,-90,-88
-70,-65,-54,-58,-92,-87
-75,-57,-51,-100,-91,-85
-84,-57,-57,-100,-91,-87
-77,-57,-53,-100,-92,-87
-83,-55,-59,-62,-91,-86
-77,-62,-54,-61,-91,-86
-81,-62,-61,-63,-91,-86
-72,-57,-57,-100,-90,-88
-81,-62,-57,-60,-88,-86
-77,-57,-51,-100,-92,-87
-72,-64,-60,-61,-89,-86
-74,-62,-55,-61,-91,-86
-72,-63,,-59,-90,-87
-73,-58,-53,-100,-91,-91
-79,-59,-56,-100,-91,-88
-74,-57,-48,-100,-87,-82
-75,-64,-52,-62,-91,-89
-72,-65,,-59,-91,-88
-72,-71,,-62,-91,-88
-77,-60,-52,-64,-86,-88
-77,-64,-55,-64,-89,-88
-77,-54,-50,-100,-91,-89
-73,-57,-55,-100,-91,-87
-77,-56,-67,-69,-88,-87
-84,-54,-63,-64,-88,-87
-75,-57,-53,-100,-89,-88
-71,-56,-52,-100,-89,-89
-75,-63,-56,-64,-91,-86
-80,-54,-59,-64,-91,-86
-76,-65,-59,-64,-91,-89
-70,-63,-100,-66,-89,-87
-74,-52,-54,-61,-88,-86
-75,-62,-57,-62,-91,-86
-73,-59,-67,-100,-91,-88
-71,-64,-53,-59,-91,-87
-74,-62,-54,-61,-91,-86
-77,-62,-58,-62,-94,-86
-75,-64,-55,-63,-91,-86
-67,-65,,-59,-94,-88
-69,-63,,-59,-90,-83
-77,-62,-56,-61,-90,-84
-67,-64,-62,-60,-89,-88
-75,-62,-55,-61,-87,-83
-74,-53,-55,-100,-92,-90
-74,-60,-55,-64,-91,-89
-78,-62,-56,-66,-91,-86
-72,-58,-59,-100,-91,-87
-77,-57,-54,-100,-91,-89
-74,-62,-55,-61,-91,-89
-71,-65,-52,-59,-92,-89
-77,-61,-58,-64,-89,-92
-72,-57,-57,-100,-90,-88
-70,-65,-52,-58,-89,-88
-75,-57,-57,-62,-93,-87
-77,-62,-53,-64,-89,-89
-100,-57,-52,-100,-91,-88
-79,-57,-51,-100,-91,-88
-76,-65,-56,-62,-91,-89
-87,-58,-53,-64,-89,-88
-71,-65,-54,-58,-89,-91
-77,-62,-58,-62,-91,-86
-74,-63,-56,-60,-91,-86
-75,-62,-58,-63,-94,-90
-71,-65,-52,-59,-92,-87
-76,-57,-56,-100,-91,-88
-78,-62,-57,-65,-89,-86
-71,-65,-52,-60,-92,-91
