,UoM_Wireless1,UoM_Wireless6,Chamidi11,FGS_Office1,NipunaM6,Becon_Wireless1,Sandali1,UoM_Wireless11,eduroam1,eduroam6,IsuruAp6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,id
103,-93,-100,-70,-90,-63,-86,-59,-100,-89,-100,,-100,-100,-100,-89,2
104,-93,-100,-68,-90,-63,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
105,-93,-100,-70,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
106,-89,-100,-71,-90,-60,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
107,-86,-100,-72,-90,-69,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
108,-93,-100,-70,-90,-66,-86,-59,-100,-89,-100,,-100,-100,-100,-86,2
109,-93,-100,-70,-90,-67,-86,-59,-100,-96,-100,,-100,-100,-100,-88,2
110,-88,-100,-70,-90,-66,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
111,-90,-100,-73,-90,-63,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
112,-88,-100,-70,-90,-64,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
113,-93,-100,-72,-90,-71,-86,-59,-100,-89,-100,,-100,-100,-100,-89,2
114,-91,-100,-72,-90,-64,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
115,-91,-100,-73,-90,-72,-86,-59,-100,-89,-100,,-100,-100,-100,-91,2
116,-94,-100,-66,-90,-64,-86,-59,-100,-94,-100,,-100,-100,-100,-88,2
117,-93,-100,-70,-90,-64,-86,-59,-100,-95,-100,,-100,-100,-100,-88,2
118,-90,-100,-70,-90,-63,-86,-59,-100,-89,-100,,-100,-100,-100,-87,2
119,-90,-100,-68,-90,-64,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
120,-87,-100,-72,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-86,2
121,-93,-100,-70,-90,-64,-86,-59,-100,-89,-100,,-100,-100,-100,-89,2
122,-92,-100,-72,-90,-66,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
123,-90,-100,-70,-90,-62,-86,-59,-100,-89,-100,,-100,-100,-100,-86,2
124,-93,-100,-78,-89,-67,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
125,-88,-100,-70,-90,-64,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
126,-93,-100,-72,-90,-63,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
127,-90,-100,-69,-90,-63,-86,-59,-100,-89,-100,,-100,-100,-100,-83,2
128,-93,-100,-70,-90,-62,-86,-59,-100,-89,-100,,-100,-100,-100,-89,2
129,-90,-100,-71,-90,-69,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
130,-93,-100,-70,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
131,-89,-100,-71,-90,-70,-86,-59,-100,-89,-100,,-100,-100,-100,-83,2
132,-93,-100,-79,-90,-67,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
133,-89,-100,-70,-90,-64,-86,-59,-100,-82,-100,,-100,-100,-100,-88,2
134,-90,-100,-74,-90,-66,-90,-59,-100,-91,-100,,-100,-100,-100,-88,2
135,-86,-100,-73,-87,-63,-86,-59,-100,-85,-100,,-100,-100,-100,-88,2
136,-89,-100,-73,-92,-64,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
137,-93,-100,-70,-90,-63,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
138,-87,-100,-69,-86,-63,-86,-59,-100,-84,-100,,-100,-100,-100,-88,2
139,-93,-100,-70,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
140,-91,-100,-71,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
141,-93,-100,-70,-89,-66,-86,-59,-100,-87,-100,,-100,-100,-100,-88,2
142,-93,-100,-69,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
143,-93,-100,-71,-90,-67,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
144,-93,-100,-65,-90,-61,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
