,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6
129,-91,-81,-90,-56,-62,-100,-62,-86,-90,-91,-83,-100
130,-91,-75,-90,-58,-62,-100,-63,-90,-94,-91,-89,-100
131,-89,-81,-90,-56,-62,-100,-62,-85,-91,-91,-89,-100
132,-91,-82,-90,-57,-62,-100,-63,-86,-91,-91,-89,-100
133,-92,-79,-90,-57,-62,-100,-63,-86,-89,-91,-90,-100
134,-91,-76,-90,-58,-62,-100,-64,-86,-88,-91,-80,-100
135,-91,-77,-90,-59,-62,-100,-62,-86,-91,-91,-89,-100
136,-88,-82,-90,-59,-62,-100,-62,-86,-87,-91,-89,-100
137,-91,-81,-88,-57,-62,-100,-62,-86,-86,-91,-88,-100
138,-92,-81,-93,-61,-62,-100,-63,-86,-91,-91,-92,-100
139,-91,-78,-92,-57,-62,-100,-65,-86,-89,-91,-89,-100
140,-91,-76,-90,-56,-62,-100,-62,-87,-92,-91,-89,-100
141,-91,-80,-90,-57,-62,-100,-61,-86,-93,-91,-89,-100
142,-91,-81,-88,-55,-62,-100,-63,-85,-89,-91,-89,-100
143,-91,-80,-91,-57,-62,-100,-68,-86,-95,-91,-91,-100
144,-91,-87,-90,-56,-62,-100,-64,-86,-91,-91,-89,-100
145,-91,-82,-90,-57,-62,-100,-62,-86,-91,-91,-89,-100
146,-91,-84,-90,-58,-59,-100,-63,-86,-91,-91,-89,-100
147,-91,-75,-90,-56,-57,-100,-62,-86,-91,-91,-89,-100
148,-83,-83,-88,-59,-57,-100,-62,-86,-90,-91,-88,-100
149,-91,-78,-91,-60,-57,-100,-63,-86,-91,-91,-89,-100
150,-91,-80,-90,-58,-55,-100,-63,-86,-91,-91,-89,-100
151,-91,-77,-90,-61,-58,-100,-62,-86,-92,-91,-89,-100
152,-91,-81,-90,-57,-57,-100,-63,-86,-91,-91,-89,-100
153,-93,-84,-94,-61,-54,-100,-64,-86,-90,-91,-89,-100
154,-91,-78,-90,-59,-54,-100,-61,-86,-91,-91,-89,-100
155,-91,-75,-90,-60,-53,-100,-65,-86,-91,-91,-89,-100
156,-91,-79,-92,-56,-54,-100,-61,-86,-95,-91,-91,-100
157,-89,-83,-90,-58,-55,-100,-61,-86,-91,-91,-87,-100
158,-91,-74,-88,-54,-52,-100,-61,-86,-88,-91,-89,-100
159,-91,-84,-90,-51,-53,-100,-62,-86,-87,-91,-89,-100
160,-91,-78,-90,-59,-52,-100,-60,-86,-91,-93,-89,-100
161,-91,-79,-90,-56,-54,-100,-60,-86,-91,-90,-89,-100
162,-91,-74,-90,-56,-56,-100,-60,-86,-93,-91,-89,-100
163,-91,-78,-90,-59,-53,-100,-62,-86,-91,-91,-89,-100
164,-82,-78,-87,-61,-56,-100,-59,-86,-86,-91,-90,-100
165,-92,-84,-90,-57,-54,-100,-61,-86,-90,-91,-89,-100
166,-91,-74,-90,-60,-55,-100,-65,-86,-91,-91,-89,-100
167,-91,-76,-90,-57,-51,-100,-60,-86,-91,-91,-89,-100
168,-91,-76,-90,-59,-52,-100,-62,-86,-91,-91,-89,-100
169,-91,-80,-90,-58,-54,-100,-62,-88,-91,-91,-89,-100
170,-91,-80,-91,-66,-54,-100,-62,-86,-91,-91,-92,-100
171,-91,-77,-90,-57,-54,-100,-62,-86,-91,-91,-89,-100
172,-91,-81,-88,-58,-55,-100,-62,-86,-89,-91,-88,-100
173,-90,-84,-90,-59,-53,-100,-62,-86,-90,-91,-89,-100
174,-91,-81,-90,-60,-54,-100,-64,-86,-91,-91,-89,-100
175,-91,-79,-90,-60,-51,-100,-61,-87,-91,-91,-89,-100
176,-91,-81,-90,-59,-54,-100,-63,-86,-91,-91,-89,-100
177,-85,-81,-85,-59,-55,-100,-60,-86,-91,-91,-89,-100
178,-91,-85,-90,-60,-54,-100,-62,-89,-91,-91,-92,-100
179,-91,-83,-90,-59,-55,-100,-62,-86,-91,-91,-89,-100
